#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14
openssl,3810138,2193456,57.6%,0.483,0.488,5.057,5.085,1047.0%,0.192,0.200,0.299,0.306,155.7%
pkg-config,240625,186552,77.5%,0.033,0.034,0.198,0.202,600.0%,0.007,0.007,0.019,0.019,271.4%
sqlite,1415135,638056,45.1%,0.168,0.169,1.105,1.110,657.7%,0.018,0.019,0.051,0.051,283.3%
libpng,446953,293056,65.6%,0.058,0.059,0.435,0.440,750.0%,0.010,0.010,0.025,0.026,250.0%
node,12006428,8326080,69.3%,1.516,1.522,17.677,17.725,1166.0%,0.471,0.482,0.933,0.946,198.1%
readline,793663,419992,52.9%,0.105,0.107,0.665,0.669,633.3%,0.015,0.016,0.039,0.039,260.0%
freetype,826156,445976,54.0%,0.097,0.098,0.779,0.785,803.1%,0.017,0.017,0.042,0.042,247.1%
glib,6938912,3748668,54.0%,0.900,0.906,8.936,8.961,992.9%,0.129,0.132,0.328,0.335,254.3%
git,12240998,4162804,34.0%,1.477,1.487,12.612,12.648,853.9%,0.279,0.284,0.451,0.457,161.6%
python,12226669,8942224,73.1%,1.407,1.416,17.984,18.049,1278.2%,0.382,0.388,0.819,0.828,214.4%
pcre,1861531,776128,41.7%,0.259,0.263,1.958,1.968,756.0%,0.040,0.041,0.078,0.080,195.0%
fontconfig,1206608,913520,75.7%,0.116,0.118,1.042,1.050,898.3%,0.052,0.054,0.098,0.099,188.5%
gdbm,167908,125044,74.5%,0.026,0.027,0.160,0.163,615.4%,0.006,0.006,0.013,0.013,216.7%
gettext,8216171,6270820,76.3%,0.652,0.659,6.034,6.075,925.5%,0.232,0.238,0.467,0.474,201.3%
xz,460066,305940,66.5%,0.062,0.064,0.567,0.574,914.5%,0.016,0.016,0.031,0.032,193.8%
imagemagick,8884305,6766724,76.2%,0.799,0.810,7.928,8.010,992.2%,0.196,0.199,0.550,0.556,280.6%
libtiff,1071961,686140,64.0%,0.130,0.132,1.006,1.011,773.8%,0.034,0.034,0.073,0.074,214.7%
libyaml,103681,56680,54.7%,0.018,0.019,0.093,0.096,516.7%,0.004,0.005,0.007,0.008,175.0%
libtool,1032494,656540,63.6%,0.145,0.150,1.451,1.463,1000.7%,0.036,0.037,0.070,0.072,194.4%
cmake,10572349,4312916,40.8%,1.523,1.537,11.935,11.981,783.7%,0.273,0.284,0.496,0.513,181.7%
youtube-dl,1369262,1323676,96.7%,0.056,0.057,0.444,0.448,792.9%,0.010,0.011,0.076,0.076,760.0%
autoconf,892877,545680,61.1%,0.121,0.123,1.097,1.102,906.6%,0.020,0.020,0.045,0.046,225.0%
libksba,135468,114040,84.2%,0.021,0.022,0.122,0.124,581.0%,0.005,0.006,0.012,0.012,240.0%
jpeg,297686,165408,55.6%,0.037,0.039,0.198,0.202,535.1%,0.007,0.008,0.017,0.017,242.9%
python3,13857145,10116724,73.0%,1.532,1.537,20.141,20.194,1314.7%,0.424,0.432,0.940,0.955,221.7%
mysql,97365322,38894956,39.9%,11.813,11.868,106.544,106.850,901.9%,2.304,2.385,4.389,4.476,190.5%
wget,573051,453252,79.1%,0.074,0.077,0.609,0.614,823.0%,0.012,0.012,0.035,0.036,291.7%
pango,1023151,626968,61.3%,0.134,0.135,1.517,1.524,1132.1%,0.028,0.029,0.064,0.065,228.6%
vim,8254231,5504292,66.7%,1.157,1.168,10.350,10.396,894.6%,0.246,0.250,0.532,0.537,216.3%
go,82102763,52849520,64.4%,11.458,11.536,117.210,117.614,1023.0%,1.489,1.565,4.620,4.775,310.3%
total,290393707,160821832,55.4%,36.377,36.627,355.854,357.133,978.2%,6.954,7.187,15.619,15.965,224.6%
